TimeStamp,Select enzymes Step,AMSA Wash Step
2018-09-27 07:36,5.353,''
2018-09-27 07:36,'',10.885
2018-09-27 07:52,5.376,''
2018-09-27 07:52,'',10.852
2018-09-27 08:07,5.199,''
2018-09-27 08:07,'',10.688
2018-09-27 08:23,5.389,''
2018-09-27 08:23,'',11.289
2018-09-27 08:38,5.461,''
2018-09-27 08:38,'',12.061
2018-09-27 08:54,5.306,''
2018-09-27 08:54,'',11.403
2018-09-27 09:09,5.337,''
2018-09-27 09:09,'',10.521
2018-09-27 09:25,5.395,''
2018-09-27 09:25,'',11.285
2018-09-27 09:40,4.974,''
2018-09-27 09:40,'',10.411
2018-09-27 09:56,5.44,''
2018-09-27 09:56,'',10.713
2018-09-27 10:11,5.382,''
2018-09-27 10:11,'',11.273
2018-09-27 10:27,5.402,''
2018-09-27 10:27,'',10.632
2018-09-27 10:42,5.187,''
2018-09-27 10:42,'',11.172
2018-09-27 10:58,5.311,''
2018-09-27 10:58,'',11.429
2018-09-27 11:13,5.095,''
2018-09-27 11:13,'',10.59
2018-09-27 11:29,5.164,''
2018-09-27 11:29,'',10.701
2018-09-27 11:44,5.194,''
2018-09-27 11:44,'',10.951
2018-09-27 12:00,4.749,''
2018-09-27 12:00,'',10.607
2018-09-27 12:15,5.653,''
2018-09-27 12:15,'',11.518
2018-09-27 12:31,5.331,''
2018-09-27 12:31,'',11
2018-09-27 12:46,5.299,''
2018-09-27 12:46,'',11.601
TimeStamp,Select enzymes Step,AMSA Wash Step
2018-09-27 17:29,4.895,''
2018-09-27 17:29,'',10.934
2018-09-27 17:45,5.024,''
2018-09-27 17:45,'',10.979
2018-09-27 18:00,5.49,''
2018-09-27 18:00,'',10.83
2018-09-27 18:16,5.212,''
2018-09-27 18:16,'',11.286
2018-09-27 18:31,5.536,''
2018-09-27 18:31,'',11.049
2018-09-27 18:47,5.362,''
2018-09-27 18:47,'',10.862
TimeStamp,Select enzymes Step,AMSA Wash Step
2018-09-27 21:48,6.355,''
2018-09-27 21:48,'',12.565
2018-09-27 22:03,5.51,''
2018-09-27 22:04,'',26.814
2018-09-27 22:19,5.532,''
2018-09-27 22:19,'',10.864
2018-09-27 22:35,5.406,''
2018-09-27 22:35,'',10.575
2018-09-27 22:50,5.552,''
2018-09-27 22:50,'',11.488
2018-09-27 23:06,5.402,''
2018-09-27 23:06,'',11.178
2018-09-27 23:21,5.295,''
2018-09-27 23:21,'',11.177
2018-09-27 23:37,5.433,''
2018-09-27 23:37,'',10.428
2018-09-27 23:52,4.265,''
2018-09-27 23:52,'',9.662
2018-09-28 00:08,5.253,''
2018-09-28 00:08,'',11.203
2018-09-28 00:23,5.323,''
2018-09-28 00:23,'',11.375
2018-09-28 00:39,5.367,''
2018-09-28 00:39,'',10.851
2018-09-28 00:54,5.207,''
2018-09-28 00:54,'',10.844
2018-09-28 01:10,5.51,''
2018-09-28 01:10,'',11.244
2018-09-28 01:25,5.287,''
2018-09-28 01:25,'',10.771
2018-09-28 01:41,5.379,''
2018-09-28 01:41,'',10.533
2018-09-28 01:56,4.767,''
2018-09-28 01:56,'',10.162
2018-09-28 02:12,5.716,''
2018-09-28 02:12,'',11.193
2018-09-28 02:27,5.356,''
2018-09-28 02:27,'',11.03
2018-09-28 02:43,5.394,''
2018-09-28 02:43,'',10.175
2018-09-28 02:58,5.107,''
